id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;31-01-00 00:00:00;2.397,64408602
NE;Nordeste;31-01-00 00:00:00;5.666,02526882
S;Sul;31-01-00 00:00:00;6.726,53514785
SE;Sudeste/Centro-Oeste;31-01-00 00:00:00;24.463,18615591
N;Norte;29-02-00 00:00:00;2.409,03548851
NE;Nordeste;29-02-00 00:00:00;5.780,17356322
S;Sul;29-02-00 00:00:00;6.887,40028736
SE;Sudeste/Centro-Oeste;29-02-00 00:00:00;25.588,78850575
N;Norte;31-03-00 00:00:00;2.407,97284946
NE;Nordeste;31-03-00 00:00:00;5.839,95053763
S;Sul;31-03-00 00:00:00;6.837,28530914
SE;Sudeste/Centro-Oeste;31-03-00 00:00:00;25.470,85502418
N;Norte;30-04-00 00:00:00;2.417,57013889
NE;Nordeste;30-04-00 00:00:00;5.766,36805556
S;Sul;30-04-00 00:00:00;6.678,98361111
SE;Sudeste/Centro-Oeste;30-04-00 00:00:00;25.352,02611111
N;Norte;31-05-00 00:00:00;2.461,79986559
NE;Nordeste;31-05-00 00:00:00;5.839,97836022
S;Sul;31-05-00 00:00:00;6.649,08790323
SE;Sudeste/Centro-Oeste;31-05-00 00:00:00;25.457,51612903
N;Norte;30-06-00 00:00:00;2.486,75359195
NE;Nordeste;30-06-00 00:00:00;5.687,11451149
S;Sul;30-06-00 00:00:00;6.682,10041667
SE;Sudeste/Centro-Oeste;30-06-00 00:00:00;24.734,85180556
N;Norte;31-07-00 00:00:00;2.441,67432796
NE;Nordeste;31-07-00 00:00:00;5.633,04892473
S;Sul;31-07-00 00:00:00;6.590,12934140
SE;Sudeste/Centro-Oeste;31-07-00 00:00:00;25.299,99731183
N;Norte;31-08-00 00:00:00;2.564,46854839
NE;Nordeste;31-08-00 00:00:00;5.783,96142473
S;Sul;31-08-00 00:00:00;6.719,18279570
SE;Sudeste/Centro-Oeste;31-08-00 00:00:00;26.006,38830645
N;Norte;30-09-00 00:00:00;2.586,58036111
NE;Nordeste;30-09-00 00:00:00;5.882,00527778
S;Sul;30-09-00 00:00:00;6.561,03833333
SE;Sudeste/Centro-Oeste;30-09-00 00:00:00;26.045,44756944
N;Norte;31-10-00 00:00:00;2.565,32242461
NE;Nordeste;31-10-00 00:00:00;6.149,06935484
S;Sul;31-10-00 00:00:00;6.765,57726741
SE;Sudeste/Centro-Oeste;31-10-00 00:00:00;27.077,48407550
N;Norte;30-11-00 00:00:00;2.562,26581944
NE;Nordeste;30-11-00 00:00:00;6.221,26083333
S;Sul;30-11-00 00:00:00;6.825,49666667
SE;Sudeste/Centro-Oeste;30-11-00 00:00:00;26.253,36291667
